koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_disposition
0.0,0,1,0,0,4.032762189,3.23e-07,-3.23e-07,133.3016604,6.58e-05,-6.58e-05,0.599,0.005,-0.003,4.14212,0.00279,-0.00279,119000.0,113.0,-113.0,35.22,10.2,-5.09,1173.0,447.97,380.06,-154.12,1520.0,1.0,5960.0,161.0,-161.0,4.438,0.098,-0.196,0.962,0.278,-0.139,295.8085,43.303108,13.861,0
1.0,0,0,0,0,4.13960513,4.08e-05,-4.08e-05,134.04705,0.00684,-0.00684,0.344,0.099,-0.344,3.31,0.184,-0.184,107.0,10.6,-10.6,1.24,0.4,-0.13,1352.0,789.48,728.35,-238.38,11.6,1.0,6535.0,154.0,-212.0,4.373,0.065,-0.195,1.181,0.382,-0.127,296.50043,40.72123,14.275,1
0.0,0,1,1,1,14.5417471,3.83e-05,-3.83e-05,137.58734,0.00198,-0.00198,1.214,30.28,-0.176,5.6067,0.0953,-0.0953,1090.0,17.9,-17.9,163.25,13.2,-26.3,1494.0,1176.23,286.55,-406.1,71.2,1.0,5032.0,80.0,-90.0,3.042,0.03,-0.03,5.922,0.477,-0.954,292.16907,41.619759,13.763,0
0.962,0,0,0,0,7.4299322,0.000155,-0.000155,138.7701,0.0171,-0.0171,0.826,0.12,-0.623,4.013,0.574,-0.574,165.0,23.0,-23.0,1.81,0.28,-0.33,1024.0,259.7,104.28,-96.76,9.8,1.0,5635.0,76.0,-76.0,4.23,0.168,-0.112,1.252,0.191,-0.233,294.67126,38.698971,15.128,2
0.0,0,0,1,1,2.037440623,9.68e-06,-9.68e-06,133.59962,0.0039,-0.0039,0.715,0.219,-0.476,3.442,0.127,-0.127,119.0,5.2,-5.2,1.19,0.36,-0.16,1572.0,1448.05,1305.68,-494.54,27.0,1.0,6253.0,169.0,-207.0,4.415,0.087,-0.203,1.015,0.312,-0.134,295.79526,47.66396,14.187,0
0.866,0,0,0,0,3.38080537,3.23e-05,-3.23e-05,133.94842,0.00894,-0.00894,0.067,0.386,-0.067,3.275,0.21,-0.21,201.0,19.1,-19.1,1.69,0.28,-0.18,1362.0,814.73,352.58,-197.75,11.6,1.0,6072.0,78.0,-91.0,4.343,0.076,-0.114,1.193,0.199,-0.123,301.57855,44.31218,15.514,2
0.0,0,1,0,0,2.172042913,8.79e-07,-8.79e-07,131.764641,0.000337,-0.000337,0.881,0.017,-0.02,8.0331,0.024,-0.024,154000.0,320.0,-320.0,100.79,19.1,-15.9,2169.0,5231.88,2467.49,-1694.32,583.6,1.0,7128.0,71.0,-85.0,4.105,0.115,-0.126,1.775,0.336,-0.28,288.47314,42.38007,13.908,0
0.0,1,0,0,0,1.025465924,9.9e-08,-9.9e-08,131.6091403,8e-05,-8e-05,0.88,0.012,-0.013,3.71841,0.00458,-0.00458,153000.0,107.0,-107.0,106.84,19.1,-23.4,2710.0,12744.17,5754.57,-5362.9,1120.8,1.0,6700.0,73.0,-87.0,4.041,0.174,-0.116,1.883,0.337,-0.412,292.18344,40.707241,13.821,0
0.887,0,0,0,0,16.5340022,0.000243,-0.000243,135.409,0.0128,-0.0128,0.525,0.433,-0.326,4.063,0.374,-0.374,89.2,10.4,-10.4,1.17,0.2,-0.19,819.0,106.21,51.98,-37.19,9.3,5.0,6052.0,121.0,-133.0,4.285,0.137,-0.112,1.202,0.208,-0.189,288.37024,43.35461,13.268,2
0.0,0,1,0,0,3.840485025,1.54e-06,-1.54e-06,134.446386,0.000356,-0.000356,1.189,0.244,-0.138,2.8592,0.0147,-0.0147,31400.0,144.0,-144.0,39.38,10.4,-4.16,1077.0,318.66,261.11,-95.96,259.4,1.0,5731.0,190.0,-190.0,4.532,0.066,-0.165,0.823,0.217,-0.087,295.21167,42.786289,15.26,0
0.0,0,0,0,1,0.93373458,7.57e-06,-7.57e-06,131.53478,0.00889,-0.00889,0.574,0.299,-0.574,4.364,0.784,-0.784,128.0,10.9,-10.9,0.93,0.18,-0.07,1573.0,1446.48,902.3,-373.8,27.8,1.0,5335.0,185.0,-185.0,4.577,0.03,-0.127,0.804,0.153,-0.061,292.91196,47.47504,14.76,0
0.0,0,1,0,1,1.540395674,1.29e-07,-1.29e-07,131.9963513,7.11e-05,-7.11e-05,1.072,0.035,-0.021,2.80168,0.00385,-0.00385,70600.0,83.0,-83.0,117.33,22.5,-48.8,2850.0,15595.35,9485.23,-11111.55,997.9,1.0,7394.0,233.0,-311.0,3.897,0.375,-0.125,2.283,0.438,-0.949,286.94843,38.928219,7.57,0
0.022,1,0,0,0,350.514,0.0181,-0.0181,210.8168,0.0492,-0.0492,0.259,0.187,-0.259,19.53,1.5,-1.5,214.0,22.0,-22.0,2.22,0.62,-0.69,346.0,3.37,2.79,-1.95,12.0,1.0,6382.0,175.0,-194.0,4.115,0.28,-0.151,1.5,0.421,-0.463,291.54568,43.789879,13.954,0
1.0,0,0,0,0,12.21828097,1.13e-05,-1.13e-05,140.321095,0.000745,-0.000745,0.778,0.027,-0.556,2.6969,0.0669,-0.0669,1840.0,23.2,-23.2,5.1,0.76,-0.62,835.0,114.59,48.15,-33.11,90.1,2.0,5822.0,105.0,-116.0,4.351,0.115,-0.115,1.081,0.162,-0.132,294.4335,38.35545,14.696,2
0.905,0,0,0,0,51.1658019,0.000431,-0.000431,172.30921,0.00673,-0.00673,0.817,0.04,-0.564,4.637,0.194,-0.194,259.0,22.0,-22.0,1.51,0.05,-0.11,398.0,5.96,0.9,-1.14,12.2,4.0,4963.0,81.0,-74.0,4.501,0.072,-0.022,0.826,0.032,-0.06,294.66797,43.85326,14.55,1
